,seed_route,total_score,dist_to_route_2,route_2_coords,route_2_id,seed_coords,time_to_route_2,total_trip_length,route_3_id,route_3_coords,dist_to_route_3,time_to_route_3,seed_route_score,route_2_score,route_3_score
0,105717322,12.934049170150091,78.50236743012664,"(38.0363, -109.5455)",105717400.0,"(38.6571, -109.3678)",2.581666666666667,2.581666666666667,,,,,4,2.9738825034834244,
1,105717322,14.498327047385972,23.817216995787096,"(38.6192, -109.618)",105718000.0,"(38.6571, -109.3678)",1.5794444444444444,1.5794444444444444,,,,,4,3.4357159362748604,
2,105717322,13.357389389102735,31.816769607416706,"(38.4951, -109.6202)",105718300.0,"(38.6571, -109.3678)",1.9602777777777778,1.9602777777777778,,,,,4,2.7136949446582914,
3,105717322,12.889583833547182,62.2124597661153,"(38.305, -109.866)",105718600.0,"(38.6571, -109.3678)",2.3855555555555554,2.3855555555555554,,,,,4,2.7136949446582914,
4,105717322,13.163115461393136,84.5998980948712,"(38.0368, -109.5774)",105800700.0,"(38.6571, -109.3678)",2.8563888888888886,2.8563888888888886,,,,,4,3.505143239170914,
5,105717322,13.585944944658292,27.866081747797235,"(38.5232, -109.6024)",105884200.0,"(38.6571, -109.3678)",1.7525,1.7525,,,,,4,2.7136949446582914,
6,105717322,12.881135565270775,78.6291274684032,"(38.0398, -109.5436)",105886700.0,"(38.6571, -109.3678)",2.584722222222222,2.584722222222222,,,,,4,2.924330009715218,
7,105717322,10.522604725705646,78.50236743012664,"(38.0363, -109.5455)",105717400.0,"(38.6571, -109.3678)",2.581666666666667,4.773888888888889,105718000.0,"(38.6192, -109.618)",62.078243254998945,2.192222222222222,4,2.9738825034834244,3.4357159362748604
8,105717322,10.27968805903898,78.50236743012664,"(38.0363, -109.5455)",105717400.0,"(38.6571, -109.3678)",2.581666666666667,4.994722222222222,105718300.0,"(38.4951, -109.6202)",65.13477574657935,2.4130555555555553,4,2.9738825034834244,2.7136949446582914
9,105717322,9.63893805903898,78.50236743012664,"(38.0363, -109.5455)",105717400.0,"(38.6571, -109.3678)",2.581666666666667,5.577222222222223,105718600.0,"(38.305, -109.866)",100.47348602532716,2.9955555555555557,4,2.9738825034834244,2.7136949446582914
10,105717322,12.056327047385972,23.817216995787096,"(38.6192, -109.618)",105718000.0,"(38.6571, -109.3678)",1.5794444444444444,3.799444444444444,105717400.0,"(38.0363, -109.5455)",62.076379136789,2.2199999999999998,4,3.4357159362748604,2.9738825034834244
11,105717322,12.731299269608193,23.817216995787096,"(38.6192, -109.618)",105718000.0,"(38.6571, -109.3678)",1.5794444444444444,3.185833333333333,105718300.0,"(38.4951, -109.6202)",15.390781314079064,1.6063888888888889,4,3.4357159362748604,2.7136949446582914
12,105717322,12.362188158497084,23.817216995787096,"(38.6192, -109.618)",105718000.0,"(38.6571, -109.3678)",1.5794444444444444,3.5213888888888887,105718600.0,"(38.305, -109.866)",41.619545900804056,1.9419444444444445,4,3.4357159362748604,2.7136949446582914
13,105717322,10.675528277991624,31.816769607416706,"(38.4951, -109.6202)",105718300.0,"(38.6571, -109.3678)",1.9602777777777778,4.398333333333333,105717400.0,"(38.0363, -109.5455)",65.13477574657935,2.4380555555555556,4,2.7136949446582914,2.9738825034834244
14,105717322,11.574167166880514,31.816769607416706,"(38.4951, -109.6202)",105718300.0,"(38.6571, -109.3678)",1.9602777777777778,3.5813888888888887,105718000.0,"(38.6192, -109.618)",15.392645432289013,1.621111111111111,4,2.7136949446582914,3.4357159362748604
15,105717322,10.687444944658292,31.816769607416706,"(38.4951, -109.6202)",105718300.0,"(38.6571, -109.3678)",1.9602777777777778,4.3875,105718600.0,"(38.305, -109.866)",53.787888202617225,2.4272222222222224,4,2.7136949446582914,2.7136949446582914
16,105717322,9.56483383354718,62.2124597661153,"(38.305, -109.866)",105718600.0,"(38.6571, -109.3678)",2.3855555555555554,5.408055555555555,105717400.0,"(38.0363, -109.5455)",100.53997290814868,3.0225,4,2.7136949446582914,2.9738825034834244
17,105717322,10.75222272243607,62.2124597661153,"(38.305, -109.866)",105718600.0,"(38.6571, -109.3678)",2.3855555555555554,4.328611111111111,105718000.0,"(38.6192, -109.618)",41.705916711198384,1.9430555555555555,4,2.7136949446582914,3.4357159362748604
18,105717322,10.23858383354718,62.2124597661153,"(38.305, -109.866)",105718600.0,"(38.6571, -109.3678)",2.3855555555555554,4.795555555555556,105718300.0,"(38.4951, -109.6202)",53.854375085438754,2.41,4,2.7136949446582914,2.7136949446582914
19,105717322,11.760309905837582,84.5998980948712,"(38.0368, -109.5774)",105800700.0,"(38.6571, -109.3678)",2.8563888888888886,4.131666666666666,105717400.0,"(38.0363, -109.5455)",6.097530664744554,1.2752777777777777,4,3.505143239170914,2.9738825034834244
20,105717322,10.452226572504248,84.5998980948712,"(38.0368, -109.5774)",105800700.0,"(38.6571, -109.3678)",2.8563888888888886,5.320833333333333,105718000.0,"(38.6192, -109.618)",68.1757739197435,2.464444444444444,4,3.505143239170914,3.4357159362748604
21,105717322,10.20594879472647,84.5998980948712,"(38.0368, -109.5774)",105800700.0,"(38.6571, -109.3678)",2.8563888888888886,5.544722222222222,105718300.0,"(38.4951, -109.6202)",71.2323064113239,2.6883333333333335,4,3.505143239170914,2.7136949446582914
22,105717322,9.565504350282026,84.5998980948712,"(38.0368, -109.5774)",105800700.0,"(38.6571, -109.3678)",2.8563888888888886,6.126944444444444,105718600.0,"(38.305, -109.866)",106.57101669007172,3.2705555555555557,4,3.505143239170914,2.7136949446582914
23,105717322,11.133556055769404,27.866081747797235,"(38.5232, -109.6024)",105884200.0,"(38.6571, -109.3678)",1.7525,3.9819444444444443,105717400.0,"(38.0363, -109.5455)",61.18408788695987,2.2294444444444443,4,2.7136949446582914,2.9738825034834244
24,105717322,12.043806055769402,27.866081747797235,"(38.5232, -109.6024)",105884200.0,"(38.6571, -109.3678)",1.7525,3.1544444444444446,105718000.0,"(38.6192, -109.618)",11.441957572669542,1.4019444444444444,4,2.7136949446582914,3.4357159362748604
25,105717322,12.257389389102737,27.866081747797235,"(38.5232, -109.6024)",105884200.0,"(38.6571, -109.3678)",1.7525,2.960277777777778,105718300.0,"(38.4951, -109.6202)",3.9506878596194714,1.2077777777777778,4,2.7136949446582914,2.7136949446582914
26,105717322,11.154639389102737,27.866081747797235,"(38.5232, -109.6024)",105884200.0,"(38.6571, -109.3678)",1.7525,3.9627777777777777,105718600.0,"(38.305, -109.866)",49.837200342997754,2.210277777777778,4,2.7136949446582914,2.7136949446582914
27,105717322,11.777774454159664,78.6291274684032,"(38.0398, -109.5436)",105886700.0,"(38.6571, -109.3678)",2.584722222222222,3.5877777777777777,105717400.0,"(38.0363, -109.5455)",0.12676003827656057,1.0030555555555556,4,2.924330009715218,2.9738825034834244
28,105717322,10.466024454159662,78.6291274684032,"(38.0398, -109.5436)",105886700.0,"(38.6571, -109.3678)",2.584722222222222,4.780277777777778,105718000.0,"(38.6192, -109.618)",62.20500329327551,2.1955555555555555,4,2.924330009715218,3.4357159362748604
29,105717322,10.223413343048552,78.6291274684032,"(38.0398, -109.5436)",105886700.0,"(38.6571, -109.3678)",2.584722222222222,5.0008333333333335,105718300.0,"(38.4951, -109.6202)",65.26153578485591,2.4161111111111113,4,2.924330009715218,2.7136949446582914
30,105717322,9.582663343048551,78.6291274684032,"(38.0398, -109.5436)",105886700.0,"(38.6571, -109.3678)",2.584722222222222,5.583333333333333,105718600.0,"(38.305, -109.866)",100.60024606360372,2.998611111111111,4,2.924330009715218,2.7136949446582914
